United States	1398	945	741	3084	37800	11281191327000.0
Russia	1217	840	887	2944	8900	1271752506000.0
Germany	986	848	905	2739	27600	2274855452400.0
China	351	349	293	993	5000	6569868565000.0
Canada	314	301	284	899	29800	986348173600.0
Australia	274	349	409	1032	29000	587658378000.0
United Kingdom	253	256	291	800	27700	1678873538100.0
France	227	228	304	759	27600	1680181353600.0
Italy	222	279	312	813	26700	1552164690300.0
Netherlands	207	228	222	657	28600	471655784600.0
Norway	167	171	157	495	37800	174288996000.0
Japan	164	214	275	653	28200	3594473830200.0
Hungary	163	163	173	499	13900	138740542600.0
Cuba	158	115	116	389	2900	33010178000.0
Romania	144	181	232	557	7000	156124864000.0
Sweden	132	226	197	555	26800	241644772800.0
Serbia	119	135	146	400	2200	20672104200.0
Brazil	106	173	146	425	7600	1429394525200.0
Spain	105	216	121	442	22000	888752524000.0
Denmark	96	40	73	209	31100	169515557100.0
Poland	90	140	136	366	11100	427759245900.0
Switzerland	74	104	109	287	32700	246032641800.0
New Zealand	72	54	73	199	21600	88044624000.0
Czech Republic	71	130	157	358	15700	160696643500.0
Argentina	70	54	73	197	11200	447124529600.0
Austria	66	79	91	236	30000	245786400000.0
Croatia	58	54	37	149	10600	47644339400.0
Finland	55	124	217	396	27400	143339592800.0
Bulgaria	47	112	121	280	7600	56128789200.0
Ukraine	47	52	100	199	5400	252238406400.0
Jamaica	32	69	44	145	3900	10756683600.0
Kenya	31	34	28	93	1000	34707817000.0
Belarus	24	44	71	139	6100	62787367100.0
Nigeria	23	30	45	98	900	118673757900.0
Greece	22	35	29	86	20000	213761160000.0
Mexico	22	19	25	66	9000	967045725000.0
Kazakhstan	20	25	32	77	6300	95969437200.0
Cameroon	20	0	1	21	1800	31213263600.0
Ethiopia	19	8	22	49	700	52344586700.0
Turkey	17	16	21	54	6700	471773518600.0
India	17	4	23	44	2900	3176520785500.0
Pakistan	16	15	33	64	2100	348187476000.0
Zimbabwe	16	4	1	21	1900	23249929500.0
South Africa	15	19	22	56	10700	472807715900.0
Slovakia	15	19	13	47	13300	72344658400.0
Iran	14	14	16	44	7000	480819031000.0
Fiji	13	0	0	13	5800	5254504200.0
Indonesia	11	17	13	41	3200	785448764800.0
Uzbekistan	10	7	17	34	1700	46422127800.0
Thailand	9	8	13	30	7400	478273803000.0
Belgium	8	35	25	68	29100	302030849700.0
Slovenia	8	13	27	48	19000	38196593000.0
Georgia	8	6	18	32	2500	11653682500.0
Azerbaijan	7	12	25	44	3400	27069504600.0
Estonia	7	6	12	25	12300	16289295900.0
Lithuania	6	7	48	61	11400	40879328400.0
Morocco	6	4	12	22	4000	132965036000.0
Colombia	5	8	14	27	6300	274636120500.0
Ireland	5	10	7	22	29600	120242156000.0
Algeria	5	4	8	17	6000	197580546000.0
Portugal	4	7	8	19	18000	190905660000.0
Taiwan	3	27	17	47	23400	539044435800.0
Latvia	3	17	12	32	10200	23202297000.0
Chile	3	2	18	23	9900	159728768100.0
Dominican Republic	3	2	2	7	6000	55103904000.0
Mongolia	2	9	11	22	1800	5098003200.0
Armenia	2	5	9	16	3500	10417302000.0
Tunisia	2	2	5	9	6900	70207596600.0
Liechtenstein	2	2	5	9	25000	849675000.0
Uganda	2	2	1	5	1400	39474055600.0
Venezuela	1	3	8	12	4800	123506088000.0
Egypt	1	4	7	12	4000	315548028000.0
Israel	1	1	7	9	19800	125771916600.0
Puerto Rico	1	2	5	8	16800	65976758400.0
Costa Rica	1	1	2	4	9100	37084875100.0
Vietnam	1	3	0	4	2500	211007415000.0
Tajikistan	1	1	2	4	1000	7320815000.0
Syria	1	1	1	3	3300	62308491300.0
Bahrain	1	1	1	3	16900	11806086500.0
Burundi	1	1	0	2	600	4854040800.0
Grenada	1	1	0	2	5000	448515000.0
Suriname	1	0	1	2	4000	1756468000.0
Ecuador	1	1	0	2	3300	44706783000.0
United Arab Emirates	1	0	1	2	23200	60382941600.0
Mozambique	1	0	1	2	1200	23623806000.0
Panama	1	0	0	1	6300	20105309700.0
Jordan	1	0	0	1	4300	25399068000.0
Ghana	0	0	21	21	2200	49301058400.0
Paraguay	0	17	0	17	4700	30580380800.0
Malaysia	0	11	5	16	9000	219472722000.0
Iceland	0	14	2	16	30900	9251089200.0
Peru	0	14	0	14	5100	144343275300.0
Moldova	0	3	5	8	1800	8040070800.0
Saudi Arabia	0	1	5	6	11800	318832825800.0
Qatar	0	1	4	5	21500	19035218500.0
